city_village,sub_district,district,state,country
Kodungallur,Mukundapuram,Thrissur,Kerala,India
Chalakudy,Mukundapuram,Thrissur,Kerala,India
Nadavaramba,Mukundapuram,Thrissur,Kerala,India
Vellangallur,Mukundapuram,Thrissur,Kerala,India
Irinjalakuda,Mukundapuram,Thrissur,Kerala,India
Guruvayur,Chavakkad,Thrissur,Kerala,India
Kochi,Ernakulam,Ernakulam,Kerala,India
Egmore,Chennai City North,Chennai,Tamil Nadu,India
Ganapathy,Coimbatore North,Coimbatore,Tamil Nadu,India
Adambakkam,Chennai City North,Chennai,Tamil Nadu,India
Adyar,Chennai City North,Chennai,Tamil Nadu,India
Alwarpet,Chennai City North,Chennai,Tamil Nadu,India
Alwarthirunagar,Chennai City North,Chennai,Tamil Nadu,India
Aminjikarai,Chennai City North,Chennai,Tamil Nadu,India
Anna Nagar,Chennai City North,Chennai,Tamil Nadu,India
Arumbakkam,Chennai City North,Chennai,Tamil Nadu,India
Ashok Nagar,Chennai City North,Chennai,Tamil Nadu,India
Ayanavaram,Chennai City North,Chennai,Tamil Nadu,India
Basin Bridge,Chennai City North,Chennai,Tamil Nadu,India
Besant Nagar,Chennai City North,Chennai,Tamil Nadu,India
Chetpauk,Chennai City North,Chennai,Tamil Nadu,India
Chintadripet,Chennai City North,Chennai,Tamil Nadu,India
Choolai,Chennai City North,Chennai,Tamil Nadu,India
Choolaimedu,Chennai City North,Chennai,Tamil Nadu,India
Chrompet,Chennai City North,Chennai,Tamil Nadu,India
Ekkaduthangal,Chennai City North,Chennai,Tamil Nadu,India
Fort St. George,Chennai City North,Chennai,Tamil Nadu,India
George Town,Chennai City North,Chennai,Tamil Nadu,India
Guindy,Chennai City North,Chennai,Tamil Nadu,India
ICF,Chennai City North,Chennai,Tamil Nadu,India
IIT Madras,Chennai City North,Chennai,Tamil Nadu,India
Iyappathangal,Chennai City North,Chennai,Tamil Nadu,India
Jafferkhanpet,Chennai City North,Chennai,Tamil Nadu,India
K.K. Nagar,Chennai City North,Chennai,Tamil Nadu,India
Keelkattalai,Chennai City North,Chennai,Tamil Nadu,India
Kilpauk,Chennai City North,Chennai,Tamil Nadu,India
Kodambakkam,Chennai City North,Chennai,Tamil Nadu,India
Kodungaiyur,Chennai City North,Chennai,Tamil Nadu,India
Kolathur,Chennai City North,Chennai,Tamil Nadu,India
Korattur,Chennai City North,Chennai,Tamil Nadu,India
Korukkupet,Chennai City North,Chennai,Tamil Nadu,India
Kottivakkam,Chennai City North,Chennai,Tamil Nadu,India
Kotturpuram,Chennai City North,Chennai,Tamil Nadu,India
Shakar Pur Bramad,Gandhi Nagar,Delhi East,Delhi,India
Shakar Pur Khas,Gandhi Nagar,Delhi East,Delhi,India
Chilla Saroda Banger,Preet Vihar,Delhi East,Delhi,India
Chilla Saroda Khadar,Preet Vihar,Delhi East,Delhi,India
Dalu Pura,Preet Vihar,Delhi East,Delhi,India
Gazi Pur,Preet Vihar,Delhi East,Delhi,India
Gharauli,Preet Vihar,Delhi East,Delhi,India
